公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300294,博雅生物,江西博雅生物制药股份有限公司,"Jiangxi Boya Bio-Pharmaceutical Co.,Ltd",江西省抚州市高新技术产业园区惠泉路333号,300294,博雅生物,2012-03-08,"267,384,801","137,769,859",,,,0,0,华东,江西,抚州市,C 制造业,www.china-boya.com
300295,三六五网,江苏三六五网络股份有限公司,"Everyday Network Co.,Ltd.",江苏省南京市六合区龙池街道新东路,300295,三六五网,2012-03-15,"192,060,000","176,338,758",,,,0,0,华东,江苏,南京市,I 信息技术,www.house365.com
300296,利亚德,利亚德光电股份有限公司,"Leyard Optoelectronic Co.,Ltd.",北京市海淀区颐和园北正红旗西街9号,300296,利亚德,2012-03-15,"760,585,724","371,827,712",,,,0,0,华北,北京,北京市,C 制造业,www.leyard.com
300297,蓝盾股份,蓝盾信息安全技术股份有限公司,"BLUEDON INFORMATION SECURITY TECHNOLOGY Co.,Ltd.",广东省广州市天河区天慧路16号,300297,蓝盾股份,2012-03-15,"1,091,100,076","645,222,969",,,,0,0,华南,广东,广州市,I 信息技术,www.bluedon.com
300298,三诺生物,三诺生物传感股份有限公司,Sinocare Inc.,湖南省长沙市高新技术产业开发区谷苑路265号,300298,三诺生物,2012-03-19,"338,355,432","250,658,858",,,,0,0,华中,湖南,长沙市,C 制造业,www.sinocare.com
300299,富春通信,富春通信股份有限公司,"Fuchun Communications Co.,Ltd.",福建省福州市鼓楼区铜盘路软件大道89号C区25号楼,300299,富春通信,2012-03-19,"380,002,637","185,039,668",,,,0,0,华东,福建,福州市,I 信息技术,www.forcom.com.cn
300300,汉鼎宇佑,汉鼎宇佑互联网股份有限公司,"Hakim Unique Internet Co., Ltd.",浙江省杭州市延安路511号元通大厦1119室,300300,汉鼎宇佑,2012-03-19,"459,393,716","258,629,979",,,,0,0,华东,浙江,杭州市,I 信息技术,www.hakim.com.cn
300301,长方集团,深圳市长方集团股份有限公司,"SHENZHEN CHANGFANG GROUP Co., LTD.",广东省深圳市坪山新区大工业区聚龙山3号路,300301,长方集团,2012-03-21,"790,363,969","404,473,714",,,,0,0,华南,广东,深圳市,C 制造业,www.cfled.com
300302,同有科技,北京同有飞骥科技股份有限公司,"TOYOU FEIJI ELECTRONICS CO.,LTD",北京市海淀区地锦路9号院2号楼-1至4层101,300302,同有科技,2012-03-21,"421,470,000","230,230,283",,,,0,0,华北,北京,北京市,I 信息技术,www.toyou.com.cn
300303,聚飞光电,深圳市聚飞光电股份有限公司,"SHENZHEN JUFEI OPTOELECTRONICS CO.,LTD",广东省深圳市龙岗区平湖街道鹅公岭社区鹅岭工业区4号C栋1-3楼、E栋,300303,聚飞光电,2012-03-19,"688,053,415","404,696,063",,,,0,0,华南,广东,深圳市,C 制造业,www.jfled.com.cn
300304,云意电气,江苏云意电气股份有限公司,"JIANGSU YUNYI  ELECTRIC CO.,LTD.",江苏省徐州市铜山经济开发区黄山路26号,300304,云意电气,2012-03-21,"226,829,268","191,839,794",,,,0,0,华东,江苏,徐州市,C 制造业,www.yunyi-china.com
